n_top,n_bottom,n_outerwear,n_shoes,n_dress,n_accessory,n_total,frac_tshirt,frac_outerwear,frac_winter,frac_formal,n_colors,has_neutral,ghost_ratio,manca_capospalla,manca_scarpe,manca_formale,manca_invernale,troppe_tshirt,poca_varieta_colori,profile
7,9,0,0,2,0,18,0.3889,0.0,0.0,0.1111,8,1.0,0.2166,1,1,0,1,0,0,summer_only
9,5,3,0,5,0,22,0.0,0.1364,0.1364,0.7727,9,1.0,0.3542,0,1,0,0,0,0,formal
7,14,7,3,5,0,36,0.0,0.1944,0.1944,0.4167,12,1.0,0.0865,0,0,0,0,0,1,formal
17,5,0,1,0,0,23,0.6522,0.0,0.0,0.0,6,0.0,0.2821,1,1,1,1,1,1,tshirt_heavy
12,6,5,5,1,4,33,0.1515,0.1515,0.3636,0.1212,6,1.0,0.6268,0,0,0,0,0,0,random
8,7,4,6,5,0,30,0.0,0.1333,0.1333,0.5333,6,1.0,0.4972,0,1,0,0,0,0,formal
3,8,1,0,0,12,24,0.0,0.0417,0.1667,0.0417,3,0.0,0.1233,1,1,1,0,0,1,random
1,0,0,1,0,0,2,0.5,0.0,0.0,0.0,1,0.0,0.1913,1,1,1,0,0,1,minimal
11,20,1,3,0,3,38,0.0,0.0263,0.1579,0.0789,12,1.0,0.4925,1,0,0,0,0,0,random
14,10,1,5,0,3,33,0.2424,0.0303,0.1515,0.0909,5,1.0,0.1924,1,0,0,0,0,0,balanced
5,6,7,2,5,0,25,0.0,0.28,0.28,0.6,13,1.0,0.0831,0,0,0,0,0,0,formal
9,8,3,2,7,0,29,0.0,0.1034,0.1034,0.5862,5,1.0,0.0428,0,0,0,0,0,0,formal
3,0,0,2,0,0,5,0.6,0.0,0.0,0.0,1,1.0,0.176,1,0,1,0,0,1,minimal
7,8,3,6,1,5,30,0.1667,0.1,0.2667,0.1,8,1.0,0.0214,0,0,0,0,0,0,random
15,8,3,4,1,1,32,0.1875,0.0938,0.1875,0.2188,5,1.0,0.2191,1,0,0,0,0,0,balanced
15,9,0,3,0,0,27,0.4074,0.0,0.0,0.0,6,1.0,0.2315,1,0,1,1,1,0,tshirt_heavy
13,4,0,2,2,2,23,0.1739,0.0,0.3043,0.2609,2,1.0,0.1204,1,0,0,0,0,1,balanced
6,15,1,1,3,1,27,0.0,0.037,0.0741,0.1852,4,1.0,0.6211,1,1,0,1,0,0,random
7,12,7,2,0,10,38,0.0,0.1842,0.3684,0.1053,10,1.0,0.1292,0,0,0,0,0,0,random
5,9,0,2,4,0,20,0.25,0.0,0.0,0.2,11,1.0,0.4063,1,0,0,1,0,0,summer_only
5,12,4,0,2,3,26,0.0769,0.1538,0.2308,0.0769,7,1.0,0.1357,1,1,0,0,0,0,random
21,14,0,2,0,0,37,0.3784,0.0,0.0,0.0,3,1.0,0.5656,1,0,1,1,0,0,tshirt_heavy
6,9,3,5,2,0,25,0.0,0.12,0.12,0.4,12,1.0,0.3498,0,0,0,0,0,0,formal
14,8,0,3,0,0,25,0.4,0.0,0.0,0.0,2,1.0,0.3703,1,0,1,1,0,1,tshirt_heavy
11,4,0,2,0,0,17,0.6471,0.0,0.0,0.0,6,1.0,0.2686,1,0,1,1,1,0,tshirt_heavy
2,1,0,0,0,0,3,0.6667,0.0,0.0,0.0,3,1.0,0.1773,1,1,1,0,0,0,minimal
10,6,0,3,1,0,20,0.5,0.0,0.0,0.05,7,1.0,0.1534,1,0,1,1,1,0,summer_only
14,2,3,3,4,0,26,0.3077,0.1154,0.1923,0.2308,7,1.0,0.1721,0,0,0,0,0,0,balanced
3,0,0,1,0,0,4,0.5,0.0,0.0,0.25,3,0.0,0.1865,1,1,1,0,0,1,minimal
5,11,6,1,1,2,26,0.0769,0.2308,0.2308,0.2692,9,1.0,0.1712,0,1,0,0,0,0,random
8,7,4,2,1,3,25,0.04,0.16,0.28,0.24,5,1.0,0.1513,1,0,0,0,0,0,random
15,10,7,0,5,5,42,0.119,0.1667,0.2381,0.3571,10,1.0,0.1171,0,1,0,0,0,0,random
6,5,0,4,3,0,18,0.3333,0.0,0.0,0.1667,2,1.0,0.2009,1,0,0,1,0,1,summer_only
16,7,2,7,4,1,37,0.1622,0.0541,0.1622,0.2432,11,1.0,0.477,1,0,0,0,0,0,balanced
22,7,0,3,0,0,32,0.4375,0.0,0.0,0.0,7,1.0,0.2982,1,0,1,1,1,0,tshirt_heavy
3,10,4,6,0,3,26,0.0769,0.1538,0.1923,0.0769,7,1.0,0.4039,0,0,0,0,0,0,random
1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,1,0.0,0.3784,1,1,1,0,0,1,minimal
0,1,0,1,0,0,2,0.0,0.0,0.0,0.0,2,1.0,0.2557,1,1,1,0,0,1,minimal
21,6,0,8,0,0,35,0.4571,0.0,0.0,0.0,4,1.0,0.3674,1,0,1,1,1,0,tshirt_heavy
6,6,8,9,3,0,32,0.0,0.25,0.25,0.4375,5,1.0,0.4013,0,0,0,0,0,0,formal
15,4,3,3,1,1,27,0.3704,0.1111,0.1481,0.2593,10,1.0,0.0981,0,0,0,0,0,0,balanced
15,7,0,1,0,0,23,0.5217,0.0,0.0,0.0,4,1.0,0.3712,1,1,1,1,1,0,tshirt_heavy
12,7,0,3,3,0,25,0.48,0.0,0.0,0.12,1,0.0,0.2294,1,0,0,1,1,1,summer_only
10,7,6,6,1,6,36,0.1389,0.1667,0.3611,0.2222,13,1.0,0.1213,0,0,0,0,0,0,balanced
5,4,0,1,3,0,13,0.3846,0.0,0.0,0.2308,6,1.0,0.3357,1,1,0,1,0,0,summer_only
2,1,0,2,0,0,5,0.2,0.0,0.0,0.2,3,1.0,0.1435,1,0,1,0,0,0,minimal
13,5,7,2,2,2,31,0.0323,0.2258,0.3871,0.3548,13,1.0,0.3567,0,0,0,0,0,0,balanced
9,6,3,1,4,4,27,0.0,0.1111,0.3704,0.3704,11,1.0,0.4947,0,1,0,0,0,0,random
6,7,3,4,2,0,22,0.0,0.1364,0.1364,0.4545,1,0.0,0.1245,0,0,0,0,0,1,formal
17,5,0,3,0,0,25,0.64,0.0,0.0,0.0,10,1.0,0.3517,1,0,1,1,1,0,tshirt_heavy
15,5,0,1,0,0,21,0.4762,0.0,0.0,0.0,7,1.0,0.1516,1,1,1,1,1,0,tshirt_heavy
13,2,4,7,6,0,32,0.0,0.125,0.125,0.625,5,1.0,0.0473,0,0,0,0,0,0,formal
1,0,0,1,0,0,2,0.5,0.0,0.0,0.0,2,1.0,0.3651,1,1,1,0,0,1,minimal
12,12,0,8,2,0,34,0.3529,0.0,0.0,0.0588,9,1.0,0.3196,1,0,0,1,0,0,summer_only
16,8,0,3,0,0,27,0.2963,0.0,0.0,0.0,12,1.0,0.3156,1,0,1,1,0,0,tshirt_heavy
4,8,4,4,1,0,21,0.0476,0.1905,0.3333,0.1905,3,1.0,0.0473,0,0,0,0,0,0,balanced
9,10,9,4,3,0,35,0.0,0.2571,0.2571,0.4,3,1.0,0.417,0,0,0,0,0,0,formal
5,11,0,2,4,0,22,0.2273,0.0,0.0,0.1818,9,1.0,0.1168,1,1,0,1,0,0,summer_only
9,4,7,5,3,0,28,0.0,0.25,0.25,0.6786,9,1.0,0.3269,0,0,0,0,0,0,formal
2,1,0,0,0,0,3,0.3333,0.0,0.0,0.3333,1,1.0,0.18,1,1,1,0,0,1,minimal
12,5,3,2,4,0,26,0.0,0.1154,0.1154,0.7308,2,1.0,0.3956,0,0,0,0,0,1,formal
7,11,0,1,3,0,22,0.3182,0.0,0.0,0.1364,10,1.0,0.113,1,1,0,1,0,0,summer_only
7,4,0,5,3,0,19,0.3684,0.0,0.0,0.1579,4,1.0,0.2782,1,0,0,1,1,0,summer_only
21,6,0,3,0,0,30,0.5667,0.0,0.0,0.0,5,1.0,0.2445,1,0,1,1,1,0,tshirt_heavy
10,5,10,2,1,0,28,0.0,0.3571,0.3571,0.6786,13,1.0,0.1434,0,0,0,0,0,0,formal
9,7,0,3,1,0,20,0.45,0.0,0.0,0.05,3,1.0,0.1157,1,0,1,1,1,0,summer_only
10,7,0,6,0,0,23,0.3913,0.0,0.0,0.0,7,1.0,0.6836,1,0,1,1,0,0,tshirt_heavy
8,4,2,2,0,2,18,0.0556,0.1111,0.4444,0.2222,7,1.0,0.4088,0,0,0,0,0,0,balanced
16,5,0,1,0,0,22,0.5909,0.0,0.0,0.0,8,1.0,0.1709,1,1,1,1,1,0,tshirt_heavy
10,9,0,6,0,0,25,0.4,0.0,0.0,0.0,6,1.0,0.2024,1,0,1,1,0,0,summer_only
3,4,0,0,0,0,7,0.2857,0.0,0.0,0.1429,4,0.0,0.1238,1,1,1,1,0,1,minimal
9,8,6,2,5,0,30,0.0,0.2,0.2,0.5667,12,1.0,0.0922,0,0,0,0,0,0,formal
3,7,9,5,2,0,26,0.0,0.3462,0.3462,0.5,8,1.0,0.0372,0,0,0,0,0,0,formal
0,0,0,2,0,0,2,0.0,0.0,0.0,0.0,2,0.0,0.3875,1,0,1,0,0,1,minimal
13,7,11,0,1,3,35,0.0,0.3143,0.4857,0.3429,9,1.0,0.3245,0,1,0,0,0,0,random
7,6,7,3,6,0,29,0.0,0.2414,0.2414,0.5862,6,1.0,0.2625,0,0,0,0,0,0,formal
22,4,0,4,0,0,30,0.5667,0.0,0.0,0.0,11,1.0,0.1761,1,0,1,1,1,0,tshirt_heavy
4,2,0,0,0,0,6,0.5,0.0,0.0,0.1667,4,1.0,0.042,1,1,1,1,1,0,minimal
11,5,4,6,0,2,28,0.1786,0.1429,0.2143,0.25,2,1.0,0.2493,0,0,0,0,0,1,balanced
22,5,0,2,0,0,29,0.5172,0.0,0.0,0.0,5,1.0,0.5274,1,0,1,1,1,0,tshirt_heavy
13,5,7,4,6,0,35,0.0,0.2,0.2,0.6571,1,0.0,0.4246,0,0,0,0,0,1,formal
1,9,4,6,3,2,25,0.0,0.16,0.2,0.28,11,1.0,0.3958,0,1,0,0,0,0,random
26,7,0,1,0,0,34,0.5882,0.0,0.0,0.0,10,1.0,0.1567,1,1,1,1,1,0,tshirt_heavy
10,6,3,3,1,1,24,0.1667,0.125,0.2083,0.0833,11,1.0,0.2627,0,0,0,0,0,0,random
7,5,0,5,2,0,19,0.3684,0.0,0.0,0.1053,10,1.0,0.5181,1,0,0,1,0,0,summer_only
7,5,8,6,0,0,26,0.0,0.3077,0.3077,0.3846,10,1.0,0.727,0,0,0,0,0,0,formal
15,6,1,5,2,1,30,0.2667,0.0333,0.2,0.1,9,1.0,0.1335,1,0,0,0,0,0,balanced
25,12,0,3,0,0,40,0.475,0.0,0.0,0.0,13,1.0,0.1007,1,0,1,1,1,0,tshirt_heavy
17,5,0,1,0,0,23,0.5217,0.0,0.0,0.0,3,1.0,0.0456,1,1,1,1,1,0,tshirt_heavy
5,6,0,3,3,0,17,0.2941,0.0,0.0,0.1765,8,1.0,0.2222,0,0,0,1,0,0,summer_only
9,6,0,0,2,0,17,0.5294,0.0,0.0,0.1176,4,1.0,0.0702,1,1,0,1,1,0,summer_only
8,5,5,5,8,0,31,0.0,0.1613,0.1613,0.5806,9,1.0,0.3101,0,0,0,1,0,0,formal
6,3,5,1,3,2,20,0.1,0.25,0.55,0.2,7,1.0,0.3935,0,1,0,0,0,0,random
7,5,3,2,5,0,22,0.0,0.1364,0.1364,0.6364,8,1.0,0.3948,0,0,0,0,0,0,formal
7,2,9,6,6,0,30,0.0,0.3,0.3,0.6333,5,1.0,0.294,0,0,0,0,0,1,formal
9,4,0,4,4,0,21,0.4286,0.0,0.0,0.1905,5,1.0,0.429,1,0,0,1,1,0,summer_only
19,4,1,5,2,0,31,0.3226,0.0323,0.129,0.2581,7,1.0,0.4009,1,0,0,0,0,0,balanced
20,5,3,3,0,1,32,0.375,0.0938,0.25,0.1875,13,1.0,0.0307,1,0,0,0,0,0,balanced
1,4,0,2,0,0,7,0.0,0.0,0.0,0.1429,1,0.0,0.2295,1,0,1,1,0,1,minimal
1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,1,1.0,0.2287,1,1,1,0,0,1,minimal
13,1,5,4,2,5,30,0.0667,0.1667,0.4,0.2667,1,0.0,0.3031,0,0,0,0,0,1,random
24,9,0,2,0,0,35,0.6,0.0,0.0,0.0,9,1.0,0.4055,1,0,1,1,1,0,tshirt_heavy
10,11,6,4,5,0,36,0.0,0.1667,0.1667,0.5,12,1.0,0.0289,0,0,0,0,0,0,formal
5,0,0,0,0,0,5,1.0,0.0,0.0,0.0,3,1.0,0.3493,1,1,1,0,1,0,minimal
9,9,6,6,5,0,35,0.0,0.1714,0.1714,0.5143,8,1.0,0.0925,0,0,0,0,0,0,formal
3,2,0,3,0,0,8,0.25,0.0,0.0,0.125,7,1.0,0.1844,1,0,1,1,0,0,minimal
25,4,0,2,0,0,31,0.7097,0.0,0.0,0.0,10,1.0,0.4732,1,0,1,1,1,0,tshirt_heavy
21,7,0,4,0,0,32,0.5312,0.0,0.0,0.0,4,1.0,0.0105,1,0,1,1,1,0,tshirt_heavy
5,4,9,4,2,0,24,0.0,0.375,0.375,0.5,5,1.0,0.056,0,0,0,0,0,0,formal
15,4,0,4,0,0,23,0.4783,0.0,0.0,0.0,1,1.0,0.1649,1,0,1,1,1,1,tshirt_heavy
6,10,0,3,2,0,21,0.2857,0.0,0.0,0.0952,13,1.0,0.1106,1,0,0,1,0,0,summer_only
4,0,0,1,0,0,5,0.8,0.0,0.0,0.0,5,1.0,0.199,1,1,1,0,1,0,minimal
9,6,5,2,0,3,25,0.2,0.2,0.32,0.24,11,1.0,0.3681,0,0,0,0,0,0,random
7,3,12,7,4,0,33,0.0,0.3636,0.3636,0.6061,11,1.0,0.474,0,0,0,0,0,0,formal
9,10,9,4,2,0,34,0.0,0.2647,0.2647,0.4706,8,1.0,0.3532,0,0,0,0,0,0,formal
6,11,4,3,3,1,28,0.0357,0.1429,0.1786,0.25,5,1.0,0.0628,0,0,0,0,0,0,random
9,9,7,6,3,0,34,0.0,0.2059,0.2059,0.5294,3,0.0,0.0562,0,0,0,0,0,1,formal
7,7,8,8,3,0,33,0.0,0.2424,0.2424,0.5152,13,1.0,0.2355,0,0,0,0,0,0,formal
1,0,0,1,0,0,2,0.5,0.0,0.0,0.0,1,1.0,0.598,1,1,1,0,0,1,minimal
8,7,8,10,6,0,39,0.0,0.2051,0.2051,0.4615,11,1.0,0.0183,0,0,0,0,0,0,formal
16,4,5,4,1,2,32,0.375,0.1562,0.25,0.2188,9,1.0,0.3437,0,0,0,0,0,0,balanced
25,9,0,4,0,0,38,0.5263,0.0,0.0,0.0,3,1.0,0.57,1,0,1,1,1,0,tshirt_heavy
1,3,0,0,0,0,4,0.25,0.0,0.0,0.0,2,0.0,0.2397,1,1,1,0,0,1,minimal
10,9,2,1,4,5,31,0.1935,0.0645,0.129,0.2581,3,0.0,0.1627,1,1,0,0,0,1,random
1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,1,0.0,0.2448,1,1,1,0,0,1,minimal
18,10,0,1,0,0,29,0.5172,0.0,0.0,0.0,1,1.0,0.0421,1,1,1,1,1,1,tshirt_heavy
2,2,0,0,0,0,4,0.5,0.0,0.0,0.0,3,0.0,0.3448,1,1,1,0,0,1,minimal
1,0,0,1,0,0,2,0.5,0.0,0.0,0.0,2,1.0,0.5841,1,1,1,0,0,1,minimal
15,13,0,3,7,0,38,0.3947,0.0,0.0,0.1842,6,1.0,0.5154,1,0,0,1,0,0,summer_only
13,5,2,6,2,1,29,0.1034,0.069,0.3103,0.1724,8,1.0,0.2538,1,0,0,0,0,0,balanced
13,11,0,4,3,0,31,0.4194,0.0,0.0,0.0968,11,1.0,0.484,1,0,0,1,1,0,summer_only
3,1,0,3,0,0,7,0.2857,0.0,0.0,0.1429,4,1.0,0.1634,1,0,1,1,0,0,minimal
3,1,0,2,0,0,6,0.5,0.0,0.0,0.0,4,0.0,0.0341,1,0,1,1,1,1,minimal
14,8,5,3,1,2,33,0.1818,0.1515,0.3333,0.2121,8,1.0,0.3394,0,0,0,0,0,0,balanced
15,5,4,2,0,1,27,0.1852,0.1481,0.2963,0.2222,9,1.0,0.1219,0,0,0,0,0,0,balanced
13,7,0,2,0,0,22,0.4091,0.0,0.0,0.0,1,1.0,0.7156,1,0,1,1,1,1,tshirt_heavy
0,0,0,3,0,0,3,0.0,0.0,0.0,0.0,1,1.0,0.1129,1,0,1,0,0,1,minimal
8,13,1,1,2,1,26,0.1154,0.0385,0.1154,0.2308,3,1.0,0.3358,1,1,0,0,0,0,random
4,1,0,0,0,0,5,0.6,0.0,0.0,0.2,2,0.0,0.1793,1,1,1,0,1,1,minimal
10,5,4,1,1,2,23,0.0435,0.1739,0.4348,0.3478,11,1.0,0.1062,0,1,0,0,0,0,random
10,9,0,4,5,0,28,0.3571,0.0,0.0,0.1786,2,1.0,0.2922,1,0,0,1,0,1,summer_only
10,6,1,1,6,7,31,0.1935,0.0323,0.1613,0.3226,7,1.0,0.2115,1,1,0,0,0,0,random
18,10,0,6,0,0,34,0.4706,0.0,0.0,0.0,3,0.0,0.208,1,0,1,1,1,1,tshirt_heavy
9,6,10,4,2,0,31,0.0,0.3226,0.3226,0.5484,10,1.0,0.3448,0,0,0,0,0,0,formal
1,1,0,1,0,0,3,0.3333,0.0,0.0,0.0,3,1.0,0.6253,1,1,1,0,0,0,minimal
7,12,0,3,6,0,28,0.25,0.0,0.0,0.2143,5,1.0,0.4041,1,0,0,1,0,0,summer_only
25,6,0,1,0,0,32,0.5938,0.0,0.0,0.0,2,1.0,0.1017,1,1,1,0,1,1,tshirt_heavy
12,3,0,6,6,0,27,0.4444,0.0,0.0,0.2222,9,1.0,0.6882,1,0,0,1,1,0,summer_only
14,7,0,3,0,0,24,0.4167,0.0,0.0,0.0,12,1.0,0.1908,1,0,1,1,1,0,tshirt_heavy
14,8,0,3,0,0,25,0.48,0.0,0.0,0.0,4,1.0,0.1434,1,0,1,1,1,0,tshirt_heavy
12,5,8,2,6,0,33,0.0,0.2424,0.2424,0.7879,1,0.0,0.1699,0,0,0,0,0,1,formal
9,11,0,5,2,0,27,0.3333,0.0,0.0,0.0741,13,1.0,0.2767,1,0,0,1,0,0,summer_only
20,6,0,2,0,0,28,0.6429,0.0,0.0,0.0,10,1.0,0.4843,1,0,1,1,1,0,tshirt_heavy
4,1,0,1,0,0,6,0.5,0.0,0.0,0.1667,1,0.0,0.3735,1,1,1,1,1,1,minimal
1,2,0,0,0,0,3,0.0,0.0,0.0,0.3333,1,0.0,0.2334,1,1,1,0,0,1,minimal
9,8,1,4,0,3,25,0.12,0.04,0.2,0.08,6,1.0,0.311,1,0,0,0,0,0,balanced
7,6,3,1,3,3,23,0.0435,0.1304,0.1739,0.5217,2,1.0,0.2402,0,1,0,0,0,1,random
3,1,0,0,0,0,4,0.75,0.0,0.0,0.0,1,0.0,0.0296,0,1,1,0,0,1,minimal
13,6,0,3,0,0,22,0.4545,0.0,0.0,0.0,6,1.0,0.0402,1,1,1,1,1,0,tshirt_heavy
5,1,0,0,0,0,6,0.8333,0.0,0.0,0.0,1,0.0,0.3147,1,1,1,1,1,1,minimal
0,1,0,2,0,0,3,0.0,0.0,0.0,0.0,3,0.0,0.1218,1,0,1,0,0,1,minimal
7,3,5,1,6,0,22,0.0,0.2273,0.2273,0.7727,11,1.0,0.3919,0,1,0,0,0,0,formal
8,4,1,0,1,1,15,0.2667,0.0667,0.2667,0.2,6,1.0,0.1033,1,1,0,0,0,0,random
8,11,5,5,5,0,34,0.0,0.1471,0.1471,0.4412,8,1.0,0.2871,0,0,0,0,0,0,formal
14,7,9,0,6,3,39,0.1538,0.2308,0.2308,0.4103,7,1.0,0.1174,0,1,1,0,0,0,random
10,8,0,3,3,0,24,0.4167,0.0,0.0,0.125,4,1.0,0.1352,1,0,0,1,1,0,summer_only
10,6,1,1,1,0,19,0.2105,0.0526,0.2105,0.2632,2,1.0,0.4811,1,1,0,0,0,1,balanced
19,7,3,1,1,1,32,0.2188,0.0938,0.3125,0.1875,4,1.0,0.1762,1,1,0,0,0,0,balanced
20,6,0,6,0,0,32,0.4688,0.0,0.0,0.0,13,1.0,0.2769,1,0,1,1,1,0,tshirt_heavy
18,6,3,5,1,2,35,0.2286,0.0857,0.2,0.1714,11,1.0,0.5457,1,0,0,0,0,0,balanced
10,7,10,3,3,0,33,0.0,0.303,0.303,0.6667,11,1.0,0.3152,1,0,0,0,0,0,formal
1,2,0,0,0,0,3,0.3333,0.0,0.0,0.0,3,0.0,0.2381,1,1,1,0,0,1,minimal
10,8,4,6,8,0,36,0.0,0.1111,0.1111,0.5556,4,1.0,0.3629,0,0,0,0,0,0,formal
14,2,2,4,2,1,25,0.24,0.08,0.2,0.24,1,1.0,0.1642,1,0,0,0,0,1,balanced
17,9,0,1,0,0,27,0.6296,0.0,0.0,0.0,9,1.0,0.1529,1,1,1,1,1,0,tshirt_heavy
11,6,4,3,0,2,26,0.1923,0.1538,0.3077,0.2308,12,1.0,0.5679,0,0,0,0,0,0,balanced
11,3,4,3,7,0,28,0.0,0.1429,0.1429,0.7857,12,1.0,0.1888,0,0,0,0,0,0,formal
17,7,7,4,0,1,36,0.1667,0.1944,0.2778,0.3056,10,1.0,0.1105,0,0,0,0,0,0,balanced
1,0,0,1,0,0,2,0.5,0.0,0.0,0.0,1,1.0,0.0375,1,1,1,0,0,1,minimal
6,2,5,0,0,5,18,0.0556,0.2778,0.5,0.3889,13,1.0,0.518,0,1,0,0,0,0,random
5,12,9,3,0,3,32,0.0625,0.2812,0.375,0.0938,8,1.0,0.3192,0,0,0,0,0,0,random
12,8,0,2,3,0,25,0.48,0.0,0.0,0.12,5,1.0,0.1436,1,0,0,1,1,0,summer_only
9,11,2,4,1,4,31,0.1613,0.0645,0.1935,0.129,8,1.0,0.389,1,0,0,0,0,0,random
11,4,4,3,0,2,24,0.1667,0.1667,0.2917,0.25,9,1.0,0.3232,0,0,0,0,0,0,balanced
3,6,5,7,0,0,21,0.0,0.2381,0.2381,0.3333,13,1.0,0.063,0,0,0,0,0,0,formal
4,0,0,0,0,0,4,1.0,0.0,0.0,0.0,2,0.0,0.1592,1,1,1,0,0,1,minimal
3,2,2,4,1,3,15,0.0667,0.1333,0.4,0.1333,6,1.0,0.0881,0,0,0,0,0,0,random
12,6,0,4,0,0,22,0.4545,0.0,0.0,0.0,5,0.0,0.1094,1,0,0,1,1,1,tshirt_heavy
9,8,0,1,3,2,23,0.087,0.0,0.0,0.2609,7,1.0,0.4022,1,1,0,1,0,0,random
6,7,0,4,4,0,21,0.2857,0.0,0.0,0.1905,2,1.0,0.3467,1,0,0,1,0,1,summer_only
8,7,2,4,2,6,29,0.0,0.069,0.4138,0.1379,5,1.0,0.11,1,0,0,0,0,0,random
1,1,0,1,0,0,3,0.3333,0.0,0.0,0.0,2,0.0,0.372,1,1,1,0,0,1,minimal
6,6,0,2,3,0,17,0.3529,0.0,0.0,0.1765,2,1.0,0.4802,1,0,0,1,0,1,summer_only
9,11,1,0,2,0,23,0.0,0.0435,0.2174,0.087,6,1.0,0.0861,1,1,0,0,0,0,random
2,0,0,1,0,0,3,0.6667,0.0,0.0,0.0,3,1.0,0.2395,1,1,1,0,0,0,minimal
7,4,4,3,2,1,21,0.2381,0.1905,0.2857,0.1905,2,0.0,0.3367,0,0,0,0,0,1,balanced
5,6,0,2,5,0,18,0.2778,0.0,0.0,0.2778,8,1.0,0.3371,1,0,0,1,0,0,summer_only
1,0,0,2,0,0,3,0.3333,0.0,0.0,0.0,1,1.0,0.0974,1,0,1,0,0,1,minimal
6,4,0,6,0,0,16,0.375,0.0,0.0,0.0,8,1.0,0.3582,1,0,1,1,0,0,summer_only
18,11,3,1,0,3,36,0.0833,0.0833,0.3611,0.2222,8,1.0,0.0973,1,1,0,0,0,0,balanced
18,6,0,0,0,0,24,0.75,0.0,0.0,0.0,3,1.0,0.1351,1,1,1,1,1,0,tshirt_heavy
8,10,8,1,1,7,35,0.0,0.2286,0.3143,0.2286,3,1.0,0.1656,0,1,0,0,0,0,random
11,9,0,4,0,0,24,0.4167,0.0,0.0,0.0,6,1.0,0.3864,1,0,1,0,1,0,tshirt_heavy
9,5,3,6,0,1,24,0.2083,0.125,0.25,0.0833,1,1.0,0.1119,0,0,0,0,0,1,balanced
11,12,0,3,5,0,31,0.3548,0.0,0.0,0.1613,2,1.0,0.4146,1,0,0,1,0,1,summer_only
2,1,0,0,0,0,3,0.6667,0.0,0.0,0.0,3,1.0,0.3711,1,1,1,0,0,0,minimal
17,14,0,3,0,0,34,0.3824,0.0,0.0,0.0,9,1.0,0.5977,1,0,1,1,0,0,tshirt_heavy
9,7,2,2,3,3,26,0.1154,0.0769,0.2308,0.3077,10,1.0,0.3588,1,0,0,0,0,0,balanced
9,3,6,3,6,0,27,0.0,0.2222,0.2222,0.6296,6,1.0,0.088,0,1,0,0,0,0,formal
11,1,2,3,1,2,20,0.15,0.1,0.4,0.25,2,0.0,0.3424,0,0,0,0,0,1,balanced
25,5,0,3,0,0,33,0.6061,0.0,0.0,0.0,7,1.0,0.0999,1,0,1,1,1,0,tshirt_heavy
16,8,0,2,0,0,26,0.4615,0.0,0.0,0.0,10,1.0,0.2606,1,0,1,1,1,0,tshirt_heavy
14,5,3,1,1,1,25,0.28,0.12,0.16,0.36,5,1.0,0.1517,0,1,0,0,0,0,balanced
5,7,1,3,0,2,18,0.1667,0.0556,0.1667,0.0556,1,1.0,0.1772,1,0,1,0,0,1,balanced
2,2,0,1,0,0,5,0.2,0.0,0.0,0.2,4,1.0,0.2029,1,1,1,0,0,0,minimal
13,7,6,0,1,1,28,0.1429,0.2143,0.3571,0.3571,12,1.0,0.1446,0,1,0,0,0,0,balanced
8,4,8,7,5,0,32,0.0,0.25,0.25,0.5938,6,1.0,0.19,0,0,0,0,0,1,formal
9,4,0,4,2,0,19,0.4737,0.0,0.0,0.1053,9,1.0,0.3133,1,0,0,1,1,0,summer_only
16,10,0,1,0,0,27,0.4815,0.0,0.0,0.0,4,1.0,0.1019,1,1,1,1,1,0,tshirt_heavy
6,0,0,2,0,0,8,0.75,0.0,0.0,0.0,2,1.0,0.4932,1,0,1,0,1,1,minimal
4,1,0,0,0,0,5,0.6,0.0,0.0,0.2,1,1.0,0.4497,1,1,1,0,1,1,minimal
6,4,5,6,4,0,25,0.0,0.2,0.2,0.56,8,1.0,0.217,0,0,0,0,0,0,formal
9,7,0,3,6,0,25,0.36,0.0,0.0,0.24,3,0.0,0.1746,1,0,0,1,0,1,summer_only
14,15,0,3,3,4,39,0.0256,0.0,0.1026,0.1538,8,1.0,0.0923,1,0,0,0,0,0,random
9,4,0,9,1,0,23,0.3913,0.0,0.0,0.0435,8,1.0,0.4808,1,0,1,1,0,0,summer_only
1,0,0,1,0,0,2,0.5,0.0,0.0,0.0,1,0.0,0.2329,1,1,1,0,0,1,minimal
18,4,0,3,0,0,25,0.48,0.0,0.0,0.0,8,1.0,0.3784,1,0,1,1,1,0,tshirt_heavy
16,6,0,1,3,0,26,0.6154,0.0,0.0,0.1154,8,1.0,0.3375,1,1,0,1,1,0,summer_only
12,7,0,1,4,0,24,0.5,0.0,0.0,0.1667,1,1.0,0.2122,1,1,0,1,1,1,summer_only
18,12,0,1,0,0,31,0.4194,0.0,0.0,0.0,12,1.0,0.1642,1,1,1,1,1,0,tshirt_heavy
18,4,0,5,0,0,27,0.4444,0.0,0.0,0.0,7,1.0,0.3556,1,0,1,1,1,0,tshirt_heavy
6,7,0,2,4,0,19,0.3158,0.0,0.0,0.2105,13,1.0,0.1917,1,0,0,1,0,0,summer_only
5,2,0,2,0,0,9,0.5556,0.0,0.0,0.0,9,1.0,0.1002,1,0,1,1,1,0,minimal
0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1,0.0,0.0783,1,1,1,0,0,1,minimal
